"","Site","Oi_sum","Oe_sum","Oa_sum","E_sum","Bhs_sum","Bs_sum","BC_sum","C_sum","Bhb_sum","B_sum","R_sum","Bs1_sum","Bs2_sum","Bhs1_sum","Bhs2_sum","Bh_sum","BC?_sum","E1_sum","E2_sum","A_sum","Eb_sum","BCb'_sum","Eb'_sum","Bsb_sum","BCb''_sum","BC'1_sum","BC'2_sum","BC'3_sum","E/Bg_sum","Bh?_sum","E/Bhs1_sum","Oa1_sum","Oa2_sum","C1_sum","C2_sum","E/Bhs_sum","Bh1_sum","Bh2_sum","E/B_sum","B?_sum","O_sum","HPU","Bottom_Interface","Total_Depth","allO_thickness","allE_thickness","allBhs_thickness","allBs_thickness","allBh_thickness","allBg_thickness","allBw_thickness","allBC_thickness","allC_thickness","Sub","Site2","x","y","geometry"
"1","42R10C4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"C","6",6,0,0,0,0,0,0,0,0,42,"R10C4",281630.588,4871223.744,c(281630.588, 4871223.744)
"2","42R10C5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,"C","12",12,0,0,0,0,0,0,0,0,42,"R10C5",281635.509,4871225.066,c(281635.509, 4871225.066)
"3","42R10C6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"C","1",1,0,0,0,0,0,0,0,0,42,"R10C6",281637.547,4871229.987,c(281637.547, 4871229.987)
"4","42R10C7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"C","1",1,0,0,0,0,0,0,0,0,42,"R10C7",281641.207,4871230.469,c(281641.207, 4871230.469)
"5","42R10C8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,"C","2",2,0,0,0,0,0,0,0,0,42,"R10C8",281645.506,4871232.675,c(281645.506, 4871232.675)
"6","42R11C4",0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,"R","43",9,3,31,0,0,0,0,0,0,42,"R11C4",281630.588,4871218.744,c(281630.588, 4871218.744)
"7","42R11C5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"C","43",0,0,0,0,0,0,0,0,0,42,"R11C5",281636.808,4871216.982,c(281636.808, 4871216.982)
"8","42R11C6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,"C","3",3,0,0,0,0,0,0,0,0,42,"R11C6",281639.794,4871220.503,c(281639.794, 4871220.503)
"9","42R11C7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"C","0",0,0,0,0,0,0,0,0,0,42,"R11C7",281644.283,4871221.899,c(281644.283, 4871221.899)
"10","42R11C8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,"C","9",9,0,0,0,0,0,0,0,0,42,"R11C8",281648.994,4871224.139,c(281648.994, 4871224.139)
"11","42R12C10",0,0,0,4,15,0,0,18,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,"Bhs","69",3,4,15,0,29,0,0,0,0,42,"R12C10",281662.474,4871216.325,c(281662.474, 4871216.325)
"12","42R12C5",0,0,0,0,18,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,"Bh","48",5,0,18,0,0,0,0,25,0,42,"R12C5",281638.108,4871208.898,c(281638.108, 4871208.898)
"13","42R12C6",0,0,0,0,38,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,"Bh","54",4,0,38,0,0,0,0,0,0,42,"R12C6",281642.041,4871211.019,c(281642.041000001, 4871211.019)
