pedon,date,observer,project,hpu,easting,northing,pm,notes
WS3_A1,7/22/08,PAB,REU2008,Bi,281589.1347,4870544.577,till,Near wells 1 and 2. ~5 cm from the stream. 
WS3_A2,7/22/08,PAB,REU2008,T,281616.96,4870554.047,till,Near well 3
WS3_A3,7/22/08,PAB,REU2008,T,281682.6312,4870563.884,till,Well 27 to the right of the transect
WS3_A4,9/16/08,PAB,REU2008,T,281705.3918,4870583.868,till,planar locally; convex at a larger scale
WS3_A5,8/26/09,PAB,REU2009,Bhs,281820.2442,4870722.892,till,
WS3_A6,11/15/09,PAB,REU2009,E,281910.2243,4870701.683,till,
WS3_A7,7/20/11,MAB,REU2011,Bi,281757.2483,4870605.771,till,
WS3_B1,6/24/08,PAB,REU2008,Bi,281601.9989,4870675.883,till,21 meters from Paradise Brook
WS3_B3,6/24/08,PAB,REU2008,Bi,281592.8546,4870726.872,till,bouldery. augered to describe Bh BC Cd
WS3_B4,6/24/08,PAB,REU2008,Bh,281583.9953,4870741.569,till,Umbrept
WS3_B5,6/24/08,PAB,REU2008,T,281560.8498,4870765.603,till,Soil Moisture: Upper B 232; Lower B 5
WS3_B6,9/4/09,PAB,REU2009,Bi,281613.7358,4870658.049,till,
WS3_C1,7/10/08,PAB,REU2008,Bi,281619.6534,4870719.591,till,Pit is 15m from channel in area with large pavement outcrop in main channel bimodal B
WS3_C2,7/9/08,PAB,REU2008,T,281613.1122,4870778.983,till,Shoulder of the crest facing main stream. Area where crest losses it's nose convexity 
WS3_C3,7/2/08,PAB,REU2008,T,281599.2925,4870830.976,till,On the left side of C transect on the short slope from top of crest to the stream; surface boulders 
WS3_C4,7/2/08,PAB,REU2008,T,281599.8472,4870867.453,till,Highest subtransect 
WS3_C5,7/9/08,PAB,REU2008,Bi,281613.9636,4870754.586,till,Parallel to B4 on other side of stream  bimodal B
WS3_C6,11/15/09,PAB,REU2009,Bh,281624.2821,4870699.964,till,
WS3_D01,8/5/08,PAB,REU2008,Bh,281754.0683,4870862.238,till,Umbrept resampled and described by SWB on 19 Sep 08 in drier/brighter conditions
WS3_D02,8/5/08,PAB,REU2008,Bi,281763.4623,4870878.808,till,Bimodal B
WS3_D03,7/20/08,PAB,REU2008,T,281775.1861,4870909.19,till,Approximatly 40m down from bedrock outcrop  
WS3_D04,7/20/08,PAB,REU2008,T,281782.801,4870946.459,till,Bedrock outcrop above and below transect. Very common surficial boulders
WS3_D05 ,7/16/08,PAB,REU2008,T,281798.0683,4870983.46,till,above a bedrock outcrop
WS3_D06,7/16/08,PAB,REU2008,Bi,281830.2678,4870987.304,till,At bench area of lower half of D transect. Could also be considered a toe slope of the entire D transect (bench). Bimodal B
WS3_D07,7/16/08,PAB,REU2008,E,281904.1027,4871037.86,till,lateral podzol
WS3_D08,7/1/08,PAB,REU2008,T,281910.7355,4871026.653,till,Nose to channel
WS3_D09,6/30/08,PAB,REU2008,T,281930.5658,4871025.292,till,Very coarse weathered bedrock 
WS3_D10,7/1/08,PAB,REU2008,T,281945.1901,4871029.236,till,14 m from D11 and ~10m from D9. Extensive bedrock exposure
WS3_D11,6/30/08,PAB,REU2008,T,281958.5344,4871032.951,till,Pit/mound depth is <10cm. 3 m from WS3 divide
WS3_E1,8/1/08,PAB,REU2008,Bi,281565.4228,4870555.582,till,Water  found at 62cm and was flowing into pit from upslope position. Due to water a clean sample of the Cd could not be taken but estimated depth is 70 cm. About 10cm from the stream. Bimodal B
WS3_E2,8/1/08,PAB,REU2008,T,281531.9871,4870578.309,till,Large DBH ab and wa. On the watershed divide
WS3_E3,9/24/08,SWB,REU2008,Bh,281575.6804,4870544.635,till,no pit and mound but site is hummocky complex due to high boulder content. <5% E and Bs in some spaces between boulders; solum is 50% boulders - in riparian toe immediately adjacent bouldery channel
WS3_E4,10/9/08,SWB,REU2008,T,281512.9172,4870602.677,till,
WS3_F1,7/29/08,PAB,REU2008,E,281916.8833,4870748.928,till,Pocket of orgainic soil between two large boulders
WS3_F2,7/29/08,PAB,REU2008,E,281935.0475,4870752.069,till,
WS3_F3 ,7/29/08,PAB,REU2008,T,282032.7816,4870802.469,till,BC and BS were described from auger samples.
WS3_F4,7/29/08,PAB,REU2008,T,281964.9739,4870786.896,till,Bench below steep outcrop
WS3_G1,7/10/08,PAB,REU2008,T,281790.2263,4871175.028,till,Near wells 12 and 13 
WS3_G2,7/15/08,PAB,REU2008,Bh,281791.086,4871209.422,till,Upslope from wells 12 and 13. In a channel with two ridges on boths sides. Channel appears to disipate not far up slope from observation pit. Umbrept?
WS3_G3,7/15/08,PAB,REU2008,Bhs,281753.3969,4871237.021,till,Above and below bedrock outcrops. 
WS3_G4,7/15/08,PAB,REU2008,E,281678.8985,4871282.3,till,On ridge near watershed boundary Lateral Podzol
WS3_H01,8/31/09,PAB,REU2009,T,281588.9456,4870943.48,till,
WS3_H02,8/31/09,PAB,REU2009,Bi,281601.3096,4870931.51,till,
WS3_H03,8/27/09,PAB,REU2009,Bh,281612.0679,4870931.197,till,
WS3_H04,6/17/11,MAB,REU2011,T,281588.5736,4870944.339,till,
WS3_H05,6/15/11,RRB,GRADRRB,T,281600.5193,4870932.352,till,
WS3_H06,6/15/11,RRB,GRADRRB,Bi,281602.8898,4870932.634,till,
WS3_H07,8/2/12,RRB,GRADRRB,T,281602.7041,4870923.809,till,
